Application_ID,District_Name,Gender,Sector,Residential_Type,Enterprise_Type,Monthly_Income_INR,Loan_Tenure_Months,Total_TAT_Days,Risk_Score,Repayment_Status,Loan_Amount_INR
49,Srinagar,Female,Tourism,Rural,Existing Enterprise,64658.0,35.12,188.0,51.0,On-Time,4384687.0
51,Poonch,Female,Unknown,Rural,Msme Sunrise Sector,53729.0,12.0,188.0,60.0,Late,316133.0
52,Kathua,Other,Tourism,Unknown,Nano Entrepreneur,94096.0,48.0,188.0,89.0,On-Time,4946411.0
53,Shopian,Female,Retail,Rural,Unknown,85525.0,36.0,207.0,27.0,Late,4932130.0
54,Samba,Female,It,Urban,Nano Entrepreneur,112188.0,12.0,188.0,33.0,Unknown,1045362.0
55,Udhampur,Female,It,Unknown,Existing Enterprise,80261.0,36.0,188.0,74.0,Unknown,2934638.0
56,Ganderbal,Other,It,Rural,Msme Sunrise Sector,64658.0,24.0,204.0,41.0,Late,40050.0
57,Kupwara,Other,Manufacturing,Unknown,Nano Entrepreneur,28822.0,18.0,188.0,2.0,On-Time,3466826.0
58,Shopian,Female,Unknown,Urban,Unknown,66609.0,35.12,188.0,58.0,Default,1830212.5
59,Doda,Male,Manufacturing,Urban,Existing Enterprise,11361.0,35.12,188.0,57.0,Late,1830212.5
60,Kathua,Male,Agri,Urban,Existing Enterprise,75804.0,18.0,200.0,12.0,On-Time,1631000.0
61,Rajouri,Female,Retail,Unknown,Msme Sunrise Sector,80722.0,48.0,164.0,36.0,Default,34571.0
62,Ramban,Male,Manufacturing,Rural,Msme Sunrise Sector,43259.0,18.0,190.0,8.0,Unknown,3029000.0
63,Doda,Unknown,Services,Rural,Existing Enterprise,69938.0,24.0,164.0,52.0,Late,2717386.0
63,Poonch,Male,Manufacturing,Unknown,Msme Sunrise Sector,87668.0,24.0,188.0,40.0,Unknown,3492138.0
65,Ramban,Other,Manufacturing,Urban,Unknown,73365.0,18.0,164.0,96.0,Default,1620000.0
66,Kathua,Female,Agri,Rural,Nano Entrepreneur,65593.0,12.0,164.0,27.0,On-Time,1830212.5
67,Poonch,Female,Agri,Urban,Unknown,60526.0,48.0,188.0,96.0,Late,1830212.5
68,Udhampur,Male,Manufacturing,Unknown,Nano Entrepreneur,65940.0,36.0,201.0,29.0,On-Time,5344305.0
68,Udhampur,Other,Manufacturing,Unknown,Nano Entrepreneur,64658.0,36.0,188.0,30.0,On-Time,46237.0
70,Kupwara,Male,Unknown,Rural,Nano Entrepreneur,61023.0,60.0,188.0,19.0,Late,12184.0
71,Baramulla,Male,Manufacturing,Unknown,Msme Sunrise Sector,84578.0,60.0,164.0,43.0,On-Time,1830212.5
72,Rajouri,Other,It,Urban,Existing Enterprise,82577.0,48.0,164.0,9.0,Late,5771.0
73,Ramban,Female,Unknown,Urban,Nano Entrepreneur,39467.0,60.0,188.0,24.0,Unknown,2504074.0
74,Kathua,Unknown,Unknown,Urban,Nano Entrepreneur,94488.0,12.0,164.0,62.0,Late,2338000.0
75,Samba,Male,Services,Unknown,Existing Enterprise,95978.0,60.0,164.0,80.0,On-Time,1830212.5
76,Samba,Male,Unknown,Urban,Unknown,36381.0,35.12,188.0,34.0,Late,4537041.0
77,Kathua,Unknown,Unknown,Rural,Unknown,13870.0,60.0,188.0,56.0,Unknown,1903000.0
78,Poonch,Unknown,Services,Unknown,Existing Enterprise,17499.0,48.0,184.0,19.0,Default,4268895.0
79,Ramban,Other,Manufacturing,Rural,Nano Entrepreneur,16464.0,36.0,188.0,10.0,Late,1830212.5
80,Kishtwar,Unknown,Unknown,Rural,Unknown,95751.0,60.0,188.0,38.0,On-Time,2257002.0
81,Ramban,Male,Tourism,Rural,Existing Enterprise,118539.0,48.0,172.0,47.0,Unknown,1983000.0
81,Pulwama,Female,Tourism,Urban,Existing Enterprise,64658.0,18.0,175.0,83.0,On-Time,7638.0
83,Baramulla,Male,Services,Urban,Msme Sunrise Sector,32413.0,60.0,164.0,10.0,Late,560493.0
84,Kulgam,Male,It,Unknown,Existing Enterprise,58635.0,24.0,188.0,40.0,On-Time,3619966.0
85,Anantnag,Male,Tourism,Unknown,Existing Enterprise,63233.0,36.0,188.0,33.0,Late,1830212.5
86,Reasi,Male,Tourism,Unknown,Existing Enterprise,64658.0,48.0,188.0,62.0,Late,5757293.0
87,Kupwara,Female,Manufacturing,Rural,Msme Sunrise Sector,84180.0,48.0,188.0,38.0,On-Time,37498.0
88,Srinagar,Male,Healthcare,Rural,Existing Enterprise,66856.0,35.12,188.0,23.0,On-Time,5944977.0
89,Srinagar,Male,Manufacturing,Rural,Existing Enterprise,43015.0,36.0,210.0,19.0,Late,2597000.0
90,Anantnag,Unknown,Unknown,Rural,Nano Entrepreneur,50076.0,48.0,172.0,71.0,Unknown,1139000.0
91,Kishtwar,Male,Healthcare,Urban,Existing Enterprise,44998.0,35.12,188.0,51.0,Late,4643070.0
92,Kishtwar,Other,Retail,Unknown,Nano Entrepreneur,89352.0,48.0,188.0,41.0,Default,40767.0
93,Udhampur,Male,It,Rural,Unknown,34196.0,12.0,188.0,51.0,Default,1830212.5
94,Udhampur,Male,Retail,Rural,Existing Enterprise,39731.0,60.0,188.0,48.0,Late,1830212.5
95,Pulwama,Female,Manufacturing,Unknown,Unknown,72109.0,48.0,212.0,9.0,Late,15132.0
96,Ganderbal,Unknown,Agri,Rural,Unknown,81870.0,48.0,164.0,89.0,Late,983230.0
97,Udhampur,Male,Tourism,Unknown,Msme Sunrise Sector,53674.0,60.0,188.0,91.0,On-Time,4630000.0
98,Doda,Male,Manufacturing,Rural,Nano Entrepreneur,64658.0,48.0,212.0,17.0,Late,175000.0
99,Poonch,Female,Agri,Urban,Nano Entrepreneur,87089.0,36.0,188.0,17.0,On-Time,5477424.0
100,Budgam,Male,Manufacturing,Rural,Existing Enterprise,49413.0,12.0,164.0,62.0,On-Time,4080000.0
101,Doda,Female,Retail,Urban,Existing Enterprise,52251.0,12.0,188.0,14.0,Late,2880832.0
102,Udhampur,Other,Manufacturing,Rural,Unknown,20453.0,24.0,164.0,75.0,On-Time,4505115.0
103,Doda,Female,Services,Urban,Existing Enterprise,118748.0,24.0,164.0,70.0,Late,759626.0
104,Poonch,Male,Tourism,Urban,Msme Sunrise Sector,80413.0,18.0,188.0,68.0,Late,1251389.0
105,Anantnag,Male,It,Unknown,Existing Enterprise,80910.0,48.0,188.0,46.0,Late,3080177.0
106,Reasi,Unknown,Tourism,Rural,Nano Entrepreneur,111428.0,35.12,212.0,6.0,On-Time,1830212.5
107,Kulgam,Female,Agri,Rural,Nano Entrepreneur,48090.0,36.0,188.0,7.0,Default,3369112.0
108,Rajouri,Unknown,Healthcare,Urban,Nano Entrepreneur,101574.0,24.0,188.0,96.0,Unknown,3794338.0
109,Kathua,Male,Tourism,Urban,Existing Enterprise,44686.0,48.0,188.0,66.0,On-Time,4783000.0
109,Doda,Male,It,Unknown,Existing Enterprise,64658.0,48.0,188.0,93.0,Unknown,3415674.0
111,Ganderbal,Male,It,Urban,Nano Entrepreneur,36943.0,24.0,191.0,51.0,On-Time,745000.0
112,Budgam,Unknown,Agri,Urban,Nano Entrepreneur,107092.0,60.0,188.0,70.0,Late,4319000.0
113,Rajouri,Female,Healthcare,Unknown,Msme Sunrise Sector,18429.0,24.0,188.0,7.0,Default,932000.0
114,Samba,Unknown,Tourism,Urban,Existing Enterprise,31431.0,48.0,212.0,67.0,Unknown,788000.0
115,Samba,Female,Unknown,Rural,Nano Entrepreneur,62834.0,12.0,188.0,83.0,Default,514000.0
116,Poonch,Male,It,Urban,Existing Enterprise,56152.0,60.0,164.0,51.0,Late,30728.0
117,Bandipora,Female,Services,Urban,Msme Sunrise Sector,49684.0,60.0,164.0,52.0,On-Time,1830212.5
118,Ganderbal,Other,Manufacturing,Urban,Existing Enterprise,21313.0,36.0,212.0,97.0,Late,678260.0
119,Ramban,Female,Unknown,Rural,Msme Sunrise Sector,78501.0,18.0,212.0,95.0,On-Time,1830212.5
120,Kupwara,Other,Services,Rural,Unknown,61623.0,12.0,188.0,72.0,Late,4323403.0
121,Srinagar,Male,Services,Rural,Nano Entrepreneur,98174.0,12.0,205.0,6.0,On-Time,1830212.5
122,Ramban,Female,Agri,Urban,Nano Entrepreneur,96957.0,18.0,164.0,66.0,Default,1830212.5
123,Doda,Unknown,Retail,Rural,Nano Entrepreneur,64658.0,36.0,188.0,93.0,Late,4900638.0
124,Shopian,Other,It,Unknown,Nano Entrepreneur,64658.0,24.0,207.0,52.0,Late,1830212.5
125,Budgam,Male,Agri,Unknown,Msme Sunrise Sector,25636.0,60.0,188.0,30.0,On-Time,3716857.0
126,Kishtwar,Female,Unknown,Rural,Msme Sunrise Sector,44271.0,36.0,212.0,90.0,Default,116915.0
127,Reasi,Other,It,Urban,Nano Entrepreneur,65362.0,48.0,212.0,100.0,Default,2775000.0
128,Pulwama,Female,Agri,Unknown,Unknown,94516.0,36.0,188.0,79.0,On-Time,5256409.0
129,Poonch,Male,Healthcare,Urban,Unknown,83904.0,48.0,188.0,89.0,On-Time,3642000.0
130,Kathua,Other,It,Rural,Nano Entrepreneur,20750.0,18.0,188.0,27.0,Late,824781.0
131,Poonch,Male,Retail,Urban,Msme Sunrise Sector,61472.0,36.0,188.0,13.0,On-Time,1456495.0
132,Pulwama,Other,Services,Rural,Nano Entrepreneur,80447.0,12.0,188.0,1.0,Unknown,31197.0
133,Shopian,Male,Unknown,Rural,Msme Sunrise Sector,14105.0,35.12,188.0,36.0,On-Time,3389569.0
134,Doda,Female,Healthcare,Rural,Nano Entrepreneur,90821.0,35.12,212.0,80.0,Default,1657000.0
135,Reasi,Unknown,Agri,Urban,Existing Enterprise,35205.0,35.12,188.0,23.0,Late,1830212.5
136,Kishtwar,Female,It,Rural,Msme Sunrise Sector,103897.0,60.0,188.0,35.0,Late,1037000.0
137,Kupwara,Male,Tourism,Rural,Unknown,53546.0,35.12,202.0,45.0,On-Time,4818206.0
138,Kishtwar,Unknown,It,Rural,Existing Enterprise,32635.0,24.0,191.0,70.0,On-Time,26095.0
139,Doda,Female,It,Urban,Nano Entrepreneur,96229.0,12.0,188.0,79.0,On-Time,2690000.0
140,Doda,Female,Unknown,Rural,Nano Entrepreneur,89418.0,48.0,188.0,77.0,Unknown,1614469.0
141,Pulwama,Unknown,Unknown,Rural,Msme Sunrise Sector,62948.0,36.0,188.0,100.0,Default,1830212.5
142,Baramulla,Male,Healthcare,Unknown,Existing Enterprise,9663.0,12.0,188.0,17.0,Late,43211.0
143,Baramulla,Other,Agri,Urban,Msme Sunrise Sector,104976.0,48.0,185.0,71.0,Default,3825180.0
144,Reasi,Female,Unknown,Rural,Existing Enterprise,12522.0,36.0,164.0,100.0,Late,23059.0
145,Bandipora,Male,Manufacturing,Urban,Nano Entrepreneur,78835.0,35.12,188.0,2.0,Late,1433752.0
146,Kulgam,Male,Services,Urban,Nano Entrepreneur,64658.0,36.0,188.0,65.0,On-Time,29745.0
147,Ganderbal,Other,Tourism,Urban,Msme Sunrise Sector,40011.0,36.0,188.0,24.0,Late,39666.0
148,Doda,Unknown,Unknown,Unknown,Nano Entrepreneur,23940.0,60.0,188.0,67.0,Unknown,25264.0
149,Budgam,Other,Services,Urban,Nano Entrepreneur,111894.0,12.0,188.0,45.0,Default,3170000.0
150,Ganderbal,Other,It,Urban,Unknown,99066.0,36.0,188.0,25.0,Default,1689183.0
151,Udhampur,Male,Healthcare,Rural,Existing Enterprise,85474.0,48.0,188.0,72.0,Late,19447.0
152,Pulwama,Male,Agri,Urban,Nano Entrepreneur,26714.0,18.0,188.0,52.0,Unknown,2633000.0
153,Reasi,Unknown,Retail,Unknown,Existing Enterprise,26113.0,24.0,188.0,72.0,On-Time,3304985.0
154,Srinagar,Female,It,Urban,Unknown,64658.0,12.0,188.0,7.0,On-Time,2577262.0
155,Pulwama,Male,Unknown,Unknown,Msme Sunrise Sector,14635.0,36.0,188.0,83.0,Unknown,1830212.5
156,Budgam,Unknown,Retail,Unknown,Msme Sunrise Sector,96070.0,35.12,188.0,51.0,Late,1830212.5
157,Ganderbal,Female,Unknown,Urban,Existing Enterprise,64658.0,24.0,164.0,53.0,Late,1830212.5
158,Anantnag,Male,Agri,Rural,Nano Entrepreneur,57583.0,35.12,188.0,33.0,On-Time,2085000.0
158,Kupwara,Male,It,Rural,Unknown,88424.0,18.0,188.0,62.0,On-Time,1830212.5
160,Doda,Male,Services,Rural,Nano Entrepreneur,51411.0,12.0,188.0,29.0,On-Time,28546.0
161,Budgam,Other,Manufacturing,Rural,Msme Sunrise Sector,51250.0,12.0,188.0,85.0,On-Time,1830212.5
162,Kathua,Male,Healthcare,Rural,Nano Entrepreneur,36499.0,24.0,188.0,51.0,Late,4027385.0
163,Anantnag,Female,Tourism,Urban,Nano Entrepreneur,35254.0,60.0,212.0,5.0,On-Time,4195832.0
164,Kupwara,Female,Tourism,Unknown,Existing Enterprise,109304.0,36.0,164.0,50.0,Default,4462.0
165,Baramulla,Male,Healthcare,Rural,Nano Entrepreneur,10892.0,24.0,188.0,36.0,On-Time,1571717.0
166,Pulwama,Female,Manufacturing,Rural,Existing Enterprise,68697.0,35.12,188.0,42.0,Unknown,3645868.0
167,Kulgam,Male,Retail,Urban,Nano Entrepreneur,90192.0,35.12,212.0,63.0,Late,2054.0
168,Doda,Unknown,It,Urban,Existing Enterprise,28141.0,60.0,212.0,68.0,Late,1712.0
169,Budgam,Unknown,Manufacturing,Rural,Nano Entrepreneur,66420.0,60.0,204.0,46.0,Unknown,3543451.0
170,Baramulla,Male,Unknown,Unknown,Existing Enterprise,28615.0,60.0,188.0,51.0,Unknown,1830212.5
171,Shopian,Unknown,It,Unknown,Existing Enterprise,64658.0,48.0,201.0,87.0,Unknown,3351393.0
171,Kishtwar,Female,Healthcare,Unknown,Unknown,64658.0,24.0,164.0,54.0,On-Time,2369000.0
173,Anantnag,Female,Retail,Rural,Unknown,40608.0,24.0,164.0,15.0,On-Time,6549.0
174,Jammu,Female,Services,Rural,Existing Enterprise,98435.0,18.0,188.0,45.0,Default,1830212.5
175,Reasi,Male,Manufacturing,Urban,Unknown,118652.0,35.12,188.0,30.0,Late,1830212.5
176,Shopian,Male,Retail,Unknown,Unknown,22256.0,60.0,188.0,11.0,On-Time,1830212.5
177,Budgam,Male,It,Unknown,Unknown,79782.0,18.0,184.0,26.0,Late,794000.0
178,Poonch,Female,Unknown,Rural,Nano Entrepreneur,43315.0,60.0,198.0,78.0,On-Time,2463000.0
179,Budgam,Unknown,Tourism,Rural,Unknown,83835.0,48.0,180.0,59.0,Late,1812864.0
180,Reasi,Unknown,Services,Rural,Nano Entrepreneur,105704.0,18.0,188.0,65.0,Unknown,4467000.0
181,Ganderbal,Unknown,Healthcare,Urban,Unknown,65785.0,12.0,182.0,74.0,On-Time,1830212.5
182,Samba,Female,It,Urban,Unknown,14149.0,48.0,188.0,17.0,Late,4038.0
183,Kathua,Male,Unknown,Rural,Msme Sunrise Sector,80539.0,24.0,164.0,37.0,Unknown,1616533.0
184,Bandipora,Male,Services,Urban,Unknown,64658.0,12.0,188.0,41.0,Unknown,5486790.0
185,Kathua,Male,Manufacturing,Urban,Existing Enterprise,27577.0,60.0,212.0,13.0,Late,40783.0
186,Shopian,Male,Tourism,Rural,Msme Sunrise Sector,39679.0,60.0,188.0,6.0,On-Time,1830212.5
187,Kulgam,Other,Tourism,Rural,Nano Entrepreneur,32900.0,48.0,188.0,64.0,On-Time,27015.0
188,Ramban,Female,Healthcare,Urban,Msme Sunrise Sector,83038.0,24.0,164.0,68.0,On-Time,5992543.0
189,Pulwama,Female,It,Rural,Msme Sunrise Sector,105055.0,12.0,188.0,96.0,Late,1520999.0
190,Baramulla,Unknown,It,Rural,Nano Entrepreneur,112698.0,12.0,212.0,35.0,On-Time,32483.0
191,Samba,Female,Unknown,Rural,Msme Sunrise Sector,52750.0,18.0,188.0,13.0,Unknown,32422.0
192,Jammu,Other,Unknown,Rural,Nano Entrepreneur,95374.0,36.0,164.0,47.0,On-Time,121463.0
193,Ganderbal,Unknown,Unknown,Unknown,Msme Sunrise Sector,52833.0,48.0,188.0,79.0,Late,1830212.5
194,Pulwama,Other,Retail,Rural,Unknown,106225.0,18.0,208.0,99.0,On-Time,4347000.0
195,Pulwama,Female,Tourism,Rural,Existing Enterprise,82387.0,36.0,188.0,31.0,Late,16453.0
196,Ramban,Female,Healthcare,Rural,Msme Sunrise Sector,54375.0,24.0,172.0,14.0,On-Time,18480.0
197,Samba,Male,Healthcare,Urban,Unknown,89681.0,36.0,188.0,81.0,Late,2688848.0
198,Anantnag,Female,Unknown,Unknown,Nano Entrepreneur,52927.0,60.0,188.0,99.0,On-Time,1418531.0
199,Kathua,Other,Services,Rural,Msme Sunrise Sector,60525.0,60.0,206.0,20.0,Default,1830212.5
200,Pulwama,Unknown,Services,Urban,Nano Entrepreneur,57133.0,24.0,171.0,51.0,Late,1996000.0
201,Doda,Male,It,Urban,Existing Enterprise,56601.0,36.0,212.0,52.0,Late,3000000.0
202,Baramulla,Male,Agri,Urban,Existing Enterprise,24868.0,24.0,164.0,34.0,On-Time,12858.0
203,Shopian,Female,Healthcare,Urban,Unknown,112862.0,36.0,212.0,29.0,Late,999000.0
204,Udhampur,Other,Unknown,Urban,Existing Enterprise,75367.0,35.12,212.0,98.0,On-Time,41757.0
205,Budgam,Unknown,Services,Urban,Existing Enterprise,114478.0,24.0,188.0,83.0,On-Time,1507000.0
206,Udhampur,Other,It,Urban,Nano Entrepreneur,13970.0,24.0,188.0,20.0,On-Time,1830212.5
207,Reasi,Male,Services,Rural,Nano Entrepreneur,56195.0,24.0,188.0,51.0,On-Time,1830212.5
208,Ganderbal,Other,It,Rural,Existing Enterprise,92326.0,35.12,164.0,79.0,Late,1830212.5
209,Anantnag,Unknown,Unknown,Urban,Existing Enterprise,119655.0,48.0,212.0,76.0,Late,2277710.0
210,Bandipora,Female,Retail,Urban,Existing Enterprise,106586.0,35.12,212.0,81.0,On-Time,1830212.5
211,Budgam,Unknown,Healthcare,Unknown,Unknown,89733.0,18.0,164.0,23.0,On-Time,3599000.0
212,Anantnag,Male,Retail,Rural,Msme Sunrise Sector,64658.0,18.0,188.0,83.0,Late,36400.0
213,Pulwama,Male,Services,Urban,Msme Sunrise Sector,97601.0,60.0,164.0,62.0,On-Time,4692033.0
214,Pulwama,Other,Services,Urban,Existing Enterprise,69100.0,24.0,203.0,13.0,On-Time,1830212.5
215,Jammu,Female,Agri,Unknown,Nano Entrepreneur,43510.0,35.12,188.0,35.0,Late,13975.0
216,Srinagar,Unknown,It,Unknown,Msme Sunrise Sector,14391.0,12.0,212.0,82.0,On-Time,930025.0
217,Baramulla,Female,Agri,Rural,Msme Sunrise Sector,10779.0,18.0,164.0,77.0,On-Time,231000.0
218,Reasi,Unknown,Services,Rural,Existing Enterprise,102629.0,35.12,188.0,24.0,On-Time,3272000.0
219,Baramulla,Female,Manufacturing,Rural,Unknown,119762.0,24.0,188.0,88.0,On-Time,13432.0
220,Shopian,Male,Tourism,Urban,Existing Enterprise,91328.0,12.0,181.0,14.0,On-Time,5032249.0
221,Poonch,Male,Retail,Rural,Nano Entrepreneur,56171.0,24.0,188.0,2.0,Unknown,2452928.0
222,Baramulla,Male,Healthcare,Urban,Nano Entrepreneur,81571.0,24.0,164.0,88.0,On-Time,2018000.0
223,Poonch,Female,Retail,Rural,Existing Enterprise,64658.0,36.0,164.0,85.0,Late,38011.0
224,Rajouri,Male,Retail,Urban,Unknown,68336.0,36.0,164.0,98.0,Default,3238197.0
225,Ganderbal,Unknown,Healthcare,Unknown,Nano Entrepreneur,43840.0,36.0,212.0,50.0,On-Time,3300990.0
226,Pulwama,Other,Healthcare,Rural,Existing Enterprise,36961.0,18.0,188.0,55.0,On-Time,3447550.0
227,Kathua,Other,Healthcare,Rural,Existing Enterprise,50682.0,12.0,189.0,13.0,Late,1830212.5
228,Rajouri,Male,Retail,Unknown,Nano Entrepreneur,21179.0,48.0,180.0,31.0,Late,778000.0
229,Udhampur,Male,Agri,Rural,Existing Enterprise,14021.0,36.0,188.0,88.0,On-Time,4675192.0
230,Shopian,Female,It,Urban,Existing Enterprise,71017.0,12.0,202.0,92.0,Late,1830212.5
231,Rajouri,Male,Unknown,Rural,Nano Entrepreneur,96951.0,36.0,188.0,46.0,On-Time,664062.0
232,Ramban,Male,Manufacturing,Urban,Nano Entrepreneur,112597.0,24.0,188.0,47.0,Unknown,11252.0
233,Doda,Other,Tourism,Unknown,Existing Enterprise,66257.0,24.0,207.0,19.0,Unknown,4596732.0
234,Bandipora,Female,Tourism,Urban,Existing Enterprise,29996.0,24.0,176.0,52.0,On-Time,4768000.0
235,Ramban,Other,Manufacturing,Rural,Nano Entrepreneur,76535.0,36.0,188.0,77.0,Late,336435.0
236,Pulwama,Unknown,Tourism,Urban,Nano Entrepreneur,36698.0,60.0,177.0,35.0,On-Time,3011158.0
237,Srinagar,Unknown,Retail,Rural,Nano Entrepreneur,16948.0,60.0,188.0,20.0,Default,859000.0
238,Bandipora,Unknown,Agri,Urban,Existing Enterprise,98738.0,36.0,188.0,97.0,On-Time,1830212.5
239,Baramulla,Female,It,Rural,Existing Enterprise,48486.0,24.0,164.0,87.0,Unknown,24702.0
240,Anantnag,Male,Services,Rural,Existing Enterprise,112008.0,35.12,183.0,96.0,Unknown,1830212.5
241,Doda,Male,Healthcare,Rural,Existing Enterprise,94847.0,60.0,164.0,83.0,Late,1809871.0
242,Shopian,Male,Manufacturing,Unknown,Existing Enterprise,102028.0,48.0,212.0,58.0,On-Time,3838000.0
243,Kathua,Male,Services,Rural,Nano Entrepreneur,115928.0,48.0,212.0,87.0,Late,44777.0
244,Rajouri,Unknown,Unknown,Rural,Unknown,63740.0,36.0,188.0,12.0,On-Time,3310760.0
245,Poonch,Unknown,Services,Urban,Msme Sunrise Sector,82987.0,36.0,188.0,89.0,Default,414393.0
246,Budgam,Male,It,Unknown,Existing Enterprise,85196.0,24.0,212.0,23.0,On-Time,25730.0
