Application ID,Application Date,District Name,Gender,Residential Type,Specially Abled Type,Enterprise Type,Sector,IFSC Code,Days_to_BHD_Verification,Days_to_SBDU_Verification,Days_to_DLIC_Approval,Days_to_Bank_Sanction,Days_to_Disbursement,Total_TAT_Days,Applicant_Monthly_Income,Loan_Tenure_Months,Interest_Rate_%,EMI_Amount,EMI_to_Income_Ratio,Risk_Score,Credit_Eligibility_Score,Repayment_Status,Loan_Amount_INR,Project_Cost_INR
10.0,2024-09-20,Kulgam,Male,Urban,Locomotor,Nano Entrepreneur,Healthcare,JKBK013021,22.0,48.0,25.0,113.0,14.0,188.0,96817.0,36.0,10.56,17897.0,0.29881065503497617,51.0,0.91,On-Time,1830212.5,2301000.0
11.0,2023-09-19,Kathua,Female,Rural,Hearing,Nano Entrepreneur,Retail,JKBK012532,17.0,64.0,17.0,91.0,13.0,202.0,111002.0,24.0,12.59,17897.0,0.29881065503497617,88.0,0.17,On-Time,38040.0,51009.0
12.0,2023-11-25,Ganderbal,Male,Unknown,Visual,Nano Entrepreneur,It,JKBK025453,18.0,56.0,56.0,51.0,11.0,192.0,50678.0,35.11829804789004,8.89,17897.0,0.29881065503497617,16.0,0.28,On-Time,3292269.0,4502000.0
13.0,,Kathua,Male,Rural,Unknown,Unknown,Healthcare,JKBK027907,13.0,44.0,18.0,65.0,33.0,173.0,93896.0,48.0,9.12,17897.0,0.29881065503497617,71.0,0.46,Late,2958000.0,5826618.0
14.0,2023-05-27,Doda,Unknown,Rural,Unknown,Msme Sunrise Sector,Services,JKBK027223,37.0,48.0,48.0,64.0,6.0,188.0,51792.0,24.0,10.85,17897.0,0.29881065503497617,96.0,0.22,Late,32318.0,2301000.0
15.0,2023-04-07,Srinagar,Male,Rural,Locomotor,Unknown,It,JKBK057979,14.0,45.0,49.0,32.0,6.0,164.0,84576.0,24.0,12.9,17897.0,0.29881065503497617,81.0,0.73,Late,4477409.0,6392000.0
16.0,,Poonch,Male,Rural,Unknown,Nano Entrepreneur,Manufacturing,JKBK015626,5.0,6.0,4.0,93.0,11.0,164.0,65967.0,12.0,13.29,17897.0,0.29881065503497617,12.0,0.5051130000081706,On-Time,1830212.5,2301000.0
17.0,2024-07-04,Srinagar,Female,Rural,Unknown,Existing Enterprise,Unknown,JKBK042557,25.0,78.0,54.0,87.0,38.0,212.0,84062.0,35.11829804789004,8.64,17897.0,0.29881065503497617,88.0,0.61,On-Time,1830212.5,5363717.0
18.0,,Reasi,Male,Rural,Locomotor,Existing Enterprise,Unknown,JKBK083848,21.0,54.0,53.0,71.0,13.0,212.0,36575.0,18.0,11.72,17897.0,0.29881065503497617,4.0,0.39,Late,38070.0,49154.0
19.0,2024-06-12,Ganderbal,Male,Rural,Visual,Nano Entrepreneur,Manufacturing,JKBK077603,24.0,65.0,37.0,10.0,16.0,164.0,22874.0,48.0,9.78,17897.0,0.29881065503497617,50.0,0.81,Late,1830212.5,45910.0
20.0,2021-01-19,Kupwara,Male,Unknown,Visual,Unknown,Unknown,JKBK021950,9.0,41.0,32.0,32.0,29.0,164.0,10830.0,48.0,11.3,17897.0,0.29881065503497617,81.0,0.9,On-Time,103367.0,117176.0
21.0,,Kulgam,Female,Rural,Locomotor,Msme Sunrise Sector,Tourism,JKBK074773,20.0,31.0,45.0,109.0,33.0,188.0,60775.0,48.0,10.42,17897.0,0.29881065503497617,74.0,0.83,Late,20344.0,46860.0
22.0,2024-05-19,Ganderbal,Other,Rural,Locomotor,Msme Sunrise Sector,Manufacturing,JKBK023004,33.0,73.0,32.0,115.0,34.0,188.0,118085.0,35.11829804789004,13.37,17897.0,0.29881065503497617,100.0,0.79,Late,4644341.0,4004000.0
23.0,2023-12-10,Pulwama,Male,Urban,Unknown,Existing Enterprise,It,JKBK017820,17.0,48.0,32.0,32.0,24.0,188.0,64658.0,18.0,13.6,17897.0,0.29881065503497617,4.0,0.7,Default,11201.0,2301000.0
24.0,,Kishtwar,Male,Urban,Unknown,Nano Entrepreneur,Agri,JKBK025888,6.0,84.0,4.0,88.0,33.0,212.0,64658.0,60.0,10.14,17897.0,0.29881065503497617,36.0,0.31,On-Time,1175217.0,3115000.0
25.0,2025-02-26,Reasi,Other,Urban,Unknown,Msme Sunrise Sector,Retail,JKBK063696,31.0,84.0,12.0,37.0,11.0,175.0,117335.0,35.11829804789004,13.06,17897.0,0.29881065503497617,31.0,0.14,On-Time,1830212.5,366000.0
26.0,2025-05-04,Kishtwar,Female,Rural,Hearing,Nano Entrepreneur,Retail,JKBK060025,38.0,18.0,23.0,43.0,24.0,164.0,59254.0,48.0,9.71,17897.0,0.29881065503497617,89.0,0.23,Late,2366253.0,2301000.0
27.0,,Baramulla,Other,Rural,Unknown,Unknown,Manufacturing,JKBK031827,29.0,72.0,17.0,65.0,3.0,188.0,64658.0,18.0,11.22,17897.0,0.29881065503497617,60.0,0.89,Late,38983.0,5039000.0
28.0,2021-01-03,Reasi,Female,Urban,Hearing,Existing Enterprise,Manufacturing,JKBK019317,20.0,24.0,50.0,65.0,43.0,188.0,94850.0,36.0,9.12,17897.0,0.29881065503497617,30.0,0.8,Default,1830212.5,3138892.0
29.0,,Srinagar,Male,Rural,Multiple,Existing Enterprise,Services,JKBK074395,38.0,45.0,55.0,60.0,4.0,202.0,15661.0,36.0,11.83,17897.0,0.29881065503497617,82.0,0.82,Late,2454980.0,19989.0
30.0,,Ramban,Female,Rural,Locomotor,Nano Entrepreneur,Tourism,JKBK062302,0.0,48.0,9.0,118.0,35.0,188.0,50244.0,18.0,10.24,17897.0,0.29881065503497617,61.0,0.74,On-Time,5079618.0,6850765.0
31.0,2026-04-26,Jammu,Unknown,Rural,Unknown,Nano Entrepreneur,Healthcare,JKBK058342,23.0,25.0,56.0,53.0,24.0,188.0,85174.0,24.0,10.19,17897.0,0.29881065503497617,19.0,0.86,Late,4072631.0,2301000.0
32.0,2021-06-04,Samba,Other,Unknown,Unknown,Unknown,Agri,JKBK077804,30.0,41.0,18.0,9.0,24.0,188.0,64658.0,24.0,12.12,17897.0,0.29881065503497617,28.0,0.17,Unknown,4031415.0,25025.0
33.0,2021-12-04,Samba,Female,Unknown,Hearing,Unknown,Healthcare,JKBK056686,10.0,13.0,37.0,9.0,33.0,164.0,27723.0,48.0,7.93,17897.0,0.29881065503497617,25.0,0.85,Late,618405.0,2301000.0
34.0,,Reasi,Unknown,Urban,Hearing,Existing Enterprise,Manufacturing,JKBK024294,34.0,51.0,56.0,89.0,24.0,188.0,55275.0,48.0,9.42,17897.0,0.29881065503497617,21.0,0.38,On-Time,933000.0,2301000.0
35.0,2026-03-19,Baramulla,Other,Rural,Unknown,Nano Entrepreneur,Retail,JKBK059505,3.0,87.0,15.0,17.0,43.0,165.0,48758.0,18.0,6.83,17897.0,0.29881065503497617,23.0,0.63,Late,1465615.0,487079.0
36.0,,Kulgam,Male,Rural,Unknown,Nano Entrepreneur,Retail,JKBK089158,36.0,38.0,32.0,68.0,24.0,188.0,31627.0,24.0,12.93,17897.0,0.29881065503497617,68.0,0.9,Default,3332000.0,3229000.0
37.0,2026-09-21,Pulwama,Female,Urban,Multiple,Existing Enterprise,It,JKBK010690,32.0,42.0,11.0,31.0,19.0,164.0,26120.0,18.0,8.06,17897.0,0.29881065503497617,20.0,0.86,Late,2396000.0,2301000.0
38.0,2025-05-20,Reasi,Male,Rural,Unknown,Existing Enterprise,Unknown,JKBK056439,6.0,57.0,38.0,117.0,13.0,212.0,13570.0,48.0,7.91,17897.0,0.29881065503497617,13.0,0.38,Late,902103.0,6802242.0
39.0,,Jammu,Male,Rural,Unknown,Existing Enterprise,Healthcare,JKBK055585,10.0,53.0,19.0,49.0,24.0,188.0,31905.0,60.0,11.07,17897.0,0.29881065503497617,70.0,0.53,Default,935827.0,3419164.0
40.0,2022-08-16,Kulgam,Other,Rural,Locomotor,Nano Entrepreneur,Services,JKBK065453,5.0,25.0,37.0,19.0,24.0,188.0,41962.0,48.0,10.56,17897.0,0.29881065503497617,19.0,0.52,Default,3015000.0,6403000.0
41.0,2023-02-25,Kupwara,Male,Urban,Locomotor,Unknown,It,JKBK030383,33.0,83.0,37.0,85.0,22.0,212.0,47669.0,18.0,13.96,17897.0,0.29881065503497617,67.0,0.25,On-Time,1891000.0,815000.0
42.0,,Ramban,Unknown,Rural,Unknown,Nano Entrepreneur,Services,JKBK096077,7.0,48.0,32.0,71.0,6.0,188.0,31683.0,36.0,8.17,17897.0,0.29881065503497617,89.0,0.82,On-Time,43391.0,6133000.0
43.0,,Pulwama,Female,Urban,Unknown,Msme Sunrise Sector,Tourism,JKBK080949,18.0,58.0,45.0,25.0,38.0,184.0,77357.0,12.0,8.93,17897.0,0.29881065503497617,40.0,0.92,Default,1830212.5,2301000.0
44.0,2024-09-09,Jammu,Male,Rural,Multiple,Unknown,Unknown,JKBK021038,34.0,48.0,13.0,54.0,8.0,188.0,11986.0,24.0,7.06,17897.0,0.29881065503497617,20.0,0.78,On-Time,5994591.0,15923.0
45.0,,Shopian,Female,Urban,Multiple,Unknown,Manufacturing,JKBK054076,3.0,28.0,33.0,120.0,30.0,212.0,93395.0,35.11829804789004,6.78,17897.0,0.29881065503497617,43.0,0.51,Late,4999663.0,2301000.0
46.0,2021-11-27,Shopian,Female,Urban,Locomotor,Existing Enterprise,It,JKBK054076,20.0,48.0,31.0,84.0,3.0,188.0,32484.0,18.0,10.01,17897.0,0.29881065503497617,50.0,0.69,Late,34255.0,2946206.0
47.0,2025-04-23,Budgam,Female,Urban,Hearing,Nano Entrepreneur,Healthcare,JKBK050548,19.0,8.0,45.0,92.0,36.0,200.0,61862.0,18.0,12.73,17897.0,0.29881065503497617,70.0,0.05,Late,1830212.5,7356.0
48.0,2023-04-28,Doda,Female,Rural,Locomotor,Msme Sunrise Sector,Healthcare,JKBK050046,28.0,17.0,32.0,11.0,31.0,188.0,12942.0,36.0,7.1,17897.0,0.29881065503497617,22.0,0.5051130000081706,On-Time,7517.0,2301000.0
49.0,2021-02-25,Doda,Male,Unknown,Visual,Existing Enterprise,Healthcare,JKBK060322,11.0,10.0,32.0,36.0,33.0,188.0,31572.0,35.11829804789004,12.2,17897.0,0.29881065503497617,91.0,0.15,Late,4758521.0,2301000.0
49.0,2022-12-20,Srinagar,Female,Rural,Unknown,Existing Enterprise,Tourism,JKBK017822,20.0,48.0,33.0,68.0,23.0,188.0,64658.0,35.11829804789004,11.42,17897.0,0.29881065503497617,51.0,0.15,On-Time,4384687.0,3832012.0
51.0,2024-03-01,Poonch,Female,Rural,Unknown,Msme Sunrise Sector,Unknown,JKBK090689,25.0,48.0,29.0,82.0,31.0,188.0,53729.0,12.0,10.19,17897.0,0.29881065503497617,60.0,0.98,Late,316133.0,9703.0
52.0,2021-11-10,Kathua,Other,Unknown,Multiple,Nano Entrepreneur,Tourism,JKBK096936,27.0,31.0,33.0,82.0,24.0,188.0,94096.0,48.0,13.25,17897.0,0.29881065503497617,89.0,0.46,On-Time,4946411.0,2301000.0
53.0,2024-10-04,Shopian,Female,Rural,Multiple,Unknown,Retail,JKBK074576,17.0,52.0,54.0,57.0,27.0,207.0,85525.0,36.0,13.83,17897.0,0.29881065503497617,27.0,0.73,Late,4932130.0,2253204.0
54.0,2022-12-03,Samba,Female,Urban,Hearing,Nano Entrepreneur,It,JKBK077806,11.0,48.0,60.0,65.0,6.0,188.0,112188.0,12.0,6.52,17897.0,0.29881065503497617,33.0,0.67,Unknown,1045362.0,2013000.0
55.0,2023-12-11,Udhampur,Female,Unknown,Unknown,Existing Enterprise,It,JKBK089681,7.0,40.0,32.0,84.0,24.0,188.0,80261.0,36.0,11.13,17897.0,0.29881065503497617,74.0,0.48,Unknown,2934638.0,6402784.0
56.0,2022-10-14,Ganderbal,Other,Rural,Hearing,Msme Sunrise Sector,It,JKBK077804,20.0,31.0,22.0,104.0,27.0,204.0,64658.0,24.0,9.99,17897.0,0.29881065503497617,41.0,0.36,Late,40050.0,21980.0
57.0,2023-07-13,Kupwara,Other,Unknown,Unknown,Nano Entrepreneur,Manufacturing,JKBK061699,20.0,77.0,40.0,99.0,24.0,188.0,28822.0,18.0,8.77,17897.0,0.29881065503497617,2.0,0.77,On-Time,3466826.0,2460661.0
58.0,,Shopian,Female,Urban,Unknown,Unknown,Unknown,JKBK061699,39.0,64.0,32.0,72.0,2.0,188.0,66609.0,35.11829804789004,12.23,17897.0,0.29881065503497617,58.0,0.16,Default,1830212.5,47362.0
59.0,,Doda,Male,Urban,Unknown,Existing Enterprise,Manufacturing,JKBK077989,20.0,68.0,50.0,118.0,24.0,188.0,11361.0,35.11829804789004,12.59,17897.0,0.29881065503497617,57.0,0.79,Late,1830212.5,1982488.0
60.0,,Kathua,Male,Urban,Unknown,Existing Enterprise,Agri,JKBK016426,10.0,19.0,31.0,96.0,44.0,200.0,75804.0,18.0,12.41,17897.0,0.29881065503497617,12.0,0.23,On-Time,1631000.0,6697101.0
61.0,,Rajouri,Female,Unknown,Unknown,Msme Sunrise Sector,Retail,JKBK036760,21.0,37.0,4.0,31.0,3.0,164.0,80722.0,48.0,9.14,17897.0,0.29881065503497617,36.0,0.9,Default,34571.0,35289.0
62.0,,Ramban,Male,Rural,Unknown,Msme Sunrise Sector,Manufacturing,JKBK040914,19.0,53.0,17.0,94.0,7.0,190.0,43259.0,18.0,13.9,17897.0,0.29881065503497617,8.0,0.62,Unknown,3029000.0,36487.0
63.0,2025-09-09,Doda,Unknown,Rural,Visual,Existing Enterprise,Services,JKBK054442,6.0,13.0,44.0,45.0,44.0,164.0,69938.0,24.0,7.61,17897.0,0.29881065503497617,52.0,0.14,Late,2717386.0,2301000.0
63.0,,Poonch,Male,Unknown,Unknown,Msme Sunrise Sector,Manufacturing,JKBK075287,19.0,23.0,32.0,117.0,37.0,188.0,87668.0,24.0,9.43,17897.0,0.29881065503497617,40.0,0.51,Unknown,3492138.0,2301000.0
65.0,2025-11-12,Ramban,Other,Urban,Locomotor,Unknown,Manufacturing,JKBK068857,4.0,23.0,19.0,35.0,44.0,164.0,73365.0,18.0,8.57,17897.0,0.29881065503497617,96.0,0.11,Default,1620000.0,47139.0
66.0,,Kathua,Female,Rural,Multiple,Nano Entrepreneur,Agri,JKBK085455,2.0,55.0,18.0,65.0,11.0,164.0,65593.0,12.0,8.0,17897.0,0.29881065503497617,27.0,0.32,On-Time,1830212.5,10919.0
67.0,,Poonch,Female,Urban,Hearing,Unknown,Agri,JKBK030383,20.0,39.0,28.0,17.0,41.0,188.0,60526.0,48.0,11.82,17897.0,0.29881065503497617,96.0,0.31,Late,1830212.5,309000.0
68.0,2024-08-12,Udhampur,Male,Unknown,Hearing,Nano Entrepreneur,Manufacturing,JKBK017822,17.0,16.0,46.0,112.0,10.0,201.0,65940.0,36.0,10.69,17897.0,0.29881065503497617,29.0,0.33,On-Time,5344305.0,57887.0
68.0,,Udhampur,Other,Unknown,Unknown,Nano Entrepreneur,Manufacturing,JKBK086898,8.0,55.0,35.0,38.0,24.0,188.0,64658.0,36.0,7.21,17897.0,0.29881065503497617,30.0,0.09,On-Time,46237.0,27572.0
70.0,2021-05-04,Kupwara,Male,Rural,Unknown,Nano Entrepreneur,Unknown,JKBK080092,20.0,48.0,49.0,76.0,43.0,188.0,61023.0,60.0,8.52,17897.0,0.29881065503497617,19.0,0.22,Late,12184.0,4971262.0
71.0,2026-06-11,Baramulla,Male,Unknown,Unknown,Msme Sunrise Sector,Manufacturing,JKBK021038,23.0,31.0,39.0,21.0,34.0,164.0,84578.0,60.0,7.0,17897.0,0.29881065503497617,43.0,0.78,On-Time,1830212.5,976745.0
72.0,,Rajouri,Other,Urban,Hearing,Existing Enterprise,It,JKBK041524,20.0,72.0,18.0,19.0,33.0,164.0,82577.0,48.0,10.47,17897.0,0.29881065503497617,9.0,0.81,Late,5771.0,2301000.0
73.0,,Ramban,Female,Urban,Hearing,Nano Entrepreneur,Unknown,JKBK074904,20.0,47.0,32.0,109.0,8.0,188.0,39467.0,60.0,9.2,17897.0,0.29881065503497617,24.0,0.34,Unknown,2504074.0,3622122.0
74.0,,Kathua,Unknown,Urban,Unknown,Nano Entrepreneur,Unknown,JKBK062214,12.0,15.0,19.0,11.0,21.0,164.0,94488.0,12.0,11.88,17897.0,0.29881065503497617,62.0,0.27,Late,2338000.0,6291645.0
75.0,2024-09-01,Samba,Male,Unknown,Visual,Existing Enterprise,Services,JKBK067133,2.0,30.0,11.0,38.0,40.0,164.0,95978.0,60.0,10.56,17897.0,0.29881065503497617,80.0,0.88,On-Time,1830212.5,2301000.0
76.0,2021-06-14,Samba,Male,Urban,Multiple,Unknown,Unknown,JKBK039783,25.0,27.0,18.0,116.0,2.0,188.0,36381.0,35.11829804789004,10.56,17897.0,0.29881065503497617,34.0,0.54,Late,4537041.0,3540327.0
77.0,,Kathua,Unknown,Rural,Multiple,Unknown,Unknown,JKBK018219,21.0,78.0,4.0,88.0,24.0,188.0,13870.0,60.0,12.45,17897.0,0.29881065503497617,56.0,0.27,Unknown,1903000.0,2301000.0
78.0,2023-06-02,Poonch,Unknown,Unknown,Visual,Existing Enterprise,Services,JKBK076492,3.0,7.0,60.0,109.0,5.0,184.0,17499.0,48.0,10.77,17897.0,0.29881065503497617,19.0,0.13,Default,4268895.0,639000.0
79.0,2025-04-06,Ramban,Other,Rural,Multiple,Nano Entrepreneur,Manufacturing,JKBK032602,14.0,69.0,32.0,33.0,32.0,188.0,16464.0,36.0,14.19,17897.0,0.29881065503497617,10.0,0.65,Late,1830212.5,473961.0
80.0,,Kishtwar,Unknown,Rural,Unknown,Unknown,Unknown,JKBK016473,20.0,23.0,17.0,111.0,9.0,188.0,95751.0,60.0,8.12,17897.0,0.29881065503497617,38.0,0.97,On-Time,2257002.0,25913.0
81.0,2022-02-01,Ramban,Male,Rural,Locomotor,Existing Enterprise,Tourism,JKBK054076,8.0,19.0,28.0,95.0,22.0,172.0,118539.0,48.0,6.78,17897.0,0.29881065503497617,47.0,0.42,Unknown,1983000.0,1256510.0
81.0,2024-07-22,Pulwama,Female,Urban,Multiple,Existing Enterprise,Tourism,JKBK056439,27.0,34.0,5.0,64.0,45.0,175.0,64658.0,18.0,14.06,17897.0,0.29881065503497617,83.0,0.32,On-Time,7638.0,42391.0
83.0,,Baramulla,Male,Urban,Locomotor,Msme Sunrise Sector,Services,JKBK049116,6.0,6.0,26.0,15.0,21.0,164.0,32413.0,60.0,12.72,17897.0,0.29881065503497617,10.0,0.98,Late,560493.0,4362000.0
84.0,2026-09-08,Kulgam,Male,Unknown,Hearing,Existing Enterprise,It,JKBK080317,22.0,67.0,32.0,65.0,31.0,188.0,58635.0,24.0,12.12,17897.0,0.29881065503497617,40.0,0.3,On-Time,3619966.0,3755257.0
85.0,,Anantnag,Male,Unknown,Unknown,Existing Enterprise,Tourism,JKBK085326,20.0,74.0,6.0,98.0,35.0,188.0,63233.0,36.0,14.25,17897.0,0.29881065503497617,33.0,0.95,Late,1830212.5,2301000.0
86.0,,Reasi,Male,Unknown,Locomotor,Existing Enterprise,Tourism,JKBK017267,33.0,18.0,51.0,65.0,24.0,188.0,64658.0,48.0,7.54,17897.0,0.29881065503497617,62.0,0.94,Late,5757293.0,5262961.0
87.0,,Kupwara,Female,Rural,Unknown,Msme Sunrise Sector,Manufacturing,JKBK069040,30.0,45.0,32.0,65.0,10.0,188.0,84180.0,48.0,12.56,17897.0,0.29881065503497617,38.0,0.66,On-Time,37498.0,2258000.0
88.0,2026-06-20,Srinagar,Male,Rural,Hearing,Existing Enterprise,Healthcare,JKBK096077,40.0,35.0,20.0,111.0,24.0,188.0,66856.0,35.11829804789004,8.31,17897.0,0.29881065503497617,23.0,0.52,On-Time,5944977.0,26740.0
89.0,,Srinagar,Male,Rural,Hearing,Existing Enterprise,Manufacturing,JKBK086967,8.0,81.0,36.0,58.0,27.0,210.0,43015.0,36.0,10.59,17897.0,0.29881065503497617,19.0,0.11,Late,2597000.0,1342170.0
90.0,,Anantnag,Unknown,Rural,Unknown,Nano Entrepreneur,Unknown,JKBK047327,17.0,33.0,50.0,51.0,21.0,172.0,50076.0,48.0,13.02,17897.0,0.29881065503497617,71.0,0.96,Unknown,1139000.0,6009204.0
91.0,2023-09-11,Kishtwar,Male,Urban,Multiple,Existing Enterprise,Healthcare,JKBK026095,31.0,63.0,16.0,65.0,44.0,188.0,44998.0,35.11829804789004,11.21,17897.0,0.29881065503497617,51.0,0.4,Late,4643070.0,51206.0
92.0,2026-09-18,Kishtwar,Other,Unknown,Unknown,Nano Entrepreneur,Retail,JKBK086231,20.0,48.0,20.0,18.0,36.0,188.0,89352.0,48.0,11.75,17897.0,0.29881065503497617,41.0,0.6,Default,40767.0,2895000.0
93.0,,Udhampur,Male,Rural,Hearing,Unknown,It,JKBK024294,20.0,18.0,32.0,70.0,9.0,188.0,34196.0,12.0,9.96,17897.0,0.29881065503497617,51.0,0.15,Default,1830212.5,2301000.0
94.0,2023-01-08,Udhampur,Male,Rural,Hearing,Existing Enterprise,Retail,JKBK061970,13.0,54.0,43.0,92.0,24.0,188.0,39731.0,60.0,10.56,17897.0,0.29881065503497617,48.0,0.85,Late,1830212.5,354141.0
95.0,2023-09-06,Pulwama,Female,Unknown,Unknown,Unknown,Manufacturing,JKBK030715,22.0,65.0,38.0,108.0,19.0,212.0,72109.0,48.0,9.37,17897.0,0.29881065503497617,9.0,0.1,Late,15132.0,3990172.0
96.0,2026-07-27,Ganderbal,Unknown,Rural,Locomotor,Unknown,Agri,JKBK013021,11.0,17.0,9.0,92.0,29.0,164.0,81870.0,48.0,6.8,17897.0,0.29881065503497617,89.0,0.46,Late,983230.0,5410013.0
97.0,,Udhampur,Male,Unknown,Multiple,Msme Sunrise Sector,Tourism,JKBK031827,20.0,10.0,35.0,14.0,18.0,188.0,53674.0,60.0,7.53,17897.0,0.29881065503497617,91.0,0.7,On-Time,4630000.0,2301000.0
98.0,,Doda,Male,Rural,Visual,Nano Entrepreneur,Manufacturing,JKBK081014,34.0,69.0,34.0,71.0,4.0,212.0,64658.0,48.0,7.01,17897.0,0.29881065503497617,17.0,0.0,Late,175000.0,6880058.0
99.0,,Poonch,Female,Urban,Unknown,Nano Entrepreneur,Agri,JKBK074867,22.0,40.0,43.0,65.0,32.0,188.0,87089.0,36.0,7.21,17897.0,0.29881065503497617,17.0,0.81,On-Time,5477424.0,154000.0
100.0,2025-06-21,Budgam,Male,Rural,Unknown,Existing Enterprise,Manufacturing,JKBK080317,3.0,18.0,43.0,62.0,11.0,164.0,49413.0,12.0,12.11,17897.0,0.29881065503497617,62.0,0.86,On-Time,4080000.0,1887000.0
101.0,,Doda,Female,Urban,Unknown,Existing Enterprise,Retail,JKBK027962,20.0,42.0,40.0,65.0,24.0,188.0,52251.0,12.0,12.91,17897.0,0.29881065503497617,14.0,0.51,Late,2880832.0,51163.0
102.0,2026-05-01,Udhampur,Other,Rural,Unknown,Unknown,Manufacturing,JKBK089603,24.0,57.0,5.0,46.0,26.0,164.0,20453.0,24.0,10.82,17897.0,0.29881065503497617,75.0,0.29,On-Time,4505115.0,2301000.0
103.0,,Doda,Female,Urban,Locomotor,Existing Enterprise,Services,JKBK042557,38.0,34.0,9.0,35.0,8.0,164.0,118748.0,24.0,9.45,17897.0,0.29881065503497617,70.0,0.27,Late,759626.0,2301000.0
104.0,,Poonch,Male,Urban,Visual,Msme Sunrise Sector,Tourism,JKBK099411,17.0,88.0,32.0,113.0,8.0,188.0,80413.0,18.0,7.25,17897.0,0.29881065503497617,68.0,0.75,Late,1251389.0,4207119.0
105.0,,Anantnag,Male,Unknown,Hearing,Existing Enterprise,It,JKBK083305,20.0,10.0,24.0,33.0,24.0,188.0,80910.0,48.0,12.34,17897.0,0.29881065503497617,46.0,0.24,Late,3080177.0,2574537.0
106.0,2025-01-14,Reasi,Unknown,Rural,Unknown,Nano Entrepreneur,Tourism,JKBK097282,4.0,79.0,52.0,86.0,3.0,212.0,111428.0,35.11829804789004,8.66,17897.0,0.29881065503497617,6.0,0.79,On-Time,1830212.5,1210319.0
107.0,,Kulgam,Female,Rural,Unknown,Nano Entrepreneur,Agri,JKBK061487,23.0,17.0,32.0,65.0,45.0,188.0,48090.0,36.0,10.56,17897.0,0.29881065503497617,7.0,0.5051130000081706,Default,3369112.0,36699.0
108.0,2021-09-10,Rajouri,Unknown,Urban,Unknown,Nano Entrepreneur,Healthcare,JKBK071310,20.0,15.0,7.0,24.0,45.0,188.0,101574.0,24.0,10.23,17897.0,0.29881065503497617,96.0,0.26,Unknown,3794338.0,541133.0
109.0,2026-05-01,Kathua,Male,Urban,Multiple,Existing Enterprise,Tourism,JKBK033776,6.0,39.0,40.0,8.0,24.0,188.0,44686.0,48.0,11.33,17897.0,0.29881065503497617,66.0,0.99,On-Time,4783000.0,2419842.0
